Sample,Name,Origin,Species,lat,long,Type,Flower_time (day)
R4364,Callypso,Germany,Brassica napus L.,49.4811111,8.4352779,Spring,170
R4365,Jumbo,Germany,Brassica napus L.,51.0333333,7,Spring,183
R4366,"St. Si 6923/76, Lester",Germany,Brassica napus L.,53.1666667,8.1999998,Winter,182
R4367,Lirabon,Germany,Brassica napus L.,51.2,6.6833334,Winter,182
R4368,Liraglu,Germany,Brassica napus L.,52.3988578,13.0656624,Winter,184
R4369,Nutiva,Germany,Brassica napus L.,49.4076783,8.6907864,Winter,183
R4370,Siesta,Germany,Brassica napus L.,51.7190528,8.7543869,Winter,183
R4371,Lisolde,Germany,Brassica napus L.,49.8705556,8.6494446,Winter,183
R4372,Emerald,Germany,Brassica napus L.,49.7877778,9.9361115,Winter,185
R4373,Esb - Kgr - 1,Germany,Brassica napus L.,49.015,12.0955553,Winter,183
R4374,Binera,Germany,Brassica napus L.,52.4333333,10.8000002,Winter,186
R4375,Eurol,Germany,Brassica napus L.,51.6166667,7.1999998,Winter,178
R4376,Liberty,Germany,Brassica napus L.,51.5333333,9.9333334,Winter,181
R4377,Contiki,Germany,Brassica napus L.,49.1402778,9.2200003,Winter,181
R4378,"Liberator, Wrg 62",Germany,Brassica napus L.,48.7666667,11.4333334,Winter,183
R4379,Elena,Germany,Brassica napus L.,48.3984084,9.9915504,Winter,172
R4380,"Lester, Si 6923/76",Germany,Brassica napus L.,51.5166667,6.9166665,Winter,183
R4381,"Arabella, Semu 1067/83, Rm 7/79",Germany,Brassica napus L.,48.8833333,8.6999998,Winter,182
R4382,"Idol, Mlch 001",Germany,Brassica napus L.,50.1,8.7666664,Winter,180
R4383,Ceres,Germany,Brassica napus L.,53.55,8.583333,Winter,184
R4384,Diana,Germany,Brassica napus L.,51.1833333,7.1999998,Winter,184
R4385,Eragi,Germany,Brassica napus L.,48.49144,9.2042685,Winter,180
R4386,Bnw 36,Germany,Brassica napus L.,49.4759325,10.9885597,Winter,180
R4387,Sedo,Germany,Brassica napus L.,51.45,6.6500001,Spring,166
R4388,Liporta,Germany,Brassica napus L.,50.35,7.5999999,Winter,184
R4389,Lirapid,Germany,Brassica napus L.,50.8666667,8.0333328,Winter,183
R4390,Liranord,Germany,Brassica napus L.,50.9833333,7.1333332,Winter,NA
R4391,unknown,Germany,Brassica napus L.,50.9333333,11.583333,Spring,165
R4392,"Garant, Ar 619/74",Germany,Brassica napus L.,50.8666667,12.083333,Winter,NA
R4393,Girita,Germany,Brassica napus L.,52.15,9.9666672,Winter,181
R4394,"Komet, Comet",Germany,Brassica napus L.,49.5897222,11.0038891,Spring,183
R4395,Kosa,Germany,Brassica napus L.,51.4333333,7.3333335,Spring,162
R4396,Libra,Germany,Brassica napus L.,49.7556526,6.6393471,Winter,182
R4397,"Lion, Wrg 63",Germany,Brassica napus L.,50.7333333,12.5,Winter,183
R4398,"Liporta, Wrg 35",Germany,Brassica napus L.,49.45,7.75,Winter,183
R4399,Npz 61,Germany,Brassica napus L.,51.3666667,7.6999998,Winter,185
R4400,"Primander, D 4/80",Germany,Brassica napus L.,53.6333333,11.3833332,Winter,181
R4401,Rapso,Germany,Brassica napus L.,51.9,8.3833332,Winter,184
R4402,"Ridana, D 10",Germany,Brassica napus L.,50.8,6.4833331,Winter,180
R4403,Liragrün,Germany,Brassica napus L.,48.7396066,9.3047333,Winter,182
R4404,St.6551,Germany,Brassica napus L.,51.2972421,6.8492889,Winter,181
R4405,Uranus,Germany,Brassica napus L.,51.65,7.0833335,Spring,181
R4406,Planet,Germany,Brassica napus L.,51.6166667,7.5166669,Winter,184
R4407,Marathon,Germany,Brassica napus L.,50.1333333,8.916667,Winter,181
R4408,Aurora,Germany,Brassica napus L.,51.3333333,7.0500002,Spring,166
R4409,"Zollerngold, Zollerngold",Germany,Brassica napus L.,48.8973114,9.1916084,Spring,167
R4410,Clipper,Germany,Brassica napus L.,54.7833333,9.4333334,Winter,183
R4411,Eora,Germany,Brassica napus L.,51.7666667,14.333333,Winter,181
R4412,Dippes,Germany,Brassica napus L.,53.5166667,8.1333332,Winter,181
R4413,Maliras,Germany,Brassica napus L.,48.522659,9.0522194,Spring,180
R4414,Zeus,Germany,Brassica napus L.,52.2833333,8.916667,Winter,180
R4415,Ledos,Germany,Brassica napus L.,53.55,10,Winter,176
R4416,"Annika, Semu 1008-84",Germany,Brassica napus L.,48.1376831,11.5743542,Winter,179
R4417,Boxer,Germany,Brassica napus L.,50.9333333,6.9499998,Winter,185
R4418,Corina,Germany,Brassica napus L.,50.1166667,8.6833334,Winter,181
R4419,"Doral, Ar 212/75",Germany,Brassica napus L.,51.45,7.0166669,Winter,182
R4420,Sabine,Germany,Brassica napus L.,48.7823243,9.1770172,Winter,182
R4421,Lirafox,Germany,Brassica napus L.,51.5166667,7.4499998,Spring,158
R4422,unknown,Germany,Brassica napus L.,51.2217226,6.7761612,Spring,167
R4423,"Lenora, Lembkes Normal, Lembkes Malchower Winterra",Germany,Brassica napus L.,53.0751557,8.8077736,Winter,184
R4424,Lesira,Germany,Brassica napus L.,52.3705163,9.7332211,Winter,179
R4425,Mali,Germany,Brassica napus L.,51.33962,12.3712921,Spring,170
R4426,Pura,Germany,Brassica napus L.,51.4333333,6.75,Spring,158
R4427,Santana,Germany,Brassica napus L.,49.4477778,11.0683336,Winter,183
R4428,Semu 100/82,Germany,Brassica napus L.,51.0508911,13.7383175,Winter,184
R4429,Semu 1002/82,Germany,Brassica napus L.,51.4833333,7.2166667,Winter,180
R4430,Odin,Germany,Brassica napus L.,51.2666667,7.1833334,Spring,183
R4431,Esb - Fgr - 1,Germany,Brassica napus L.,52.0333333,8.5333328,Winter,183
R4432,St.6561,Germany,Brassica napus L.,50.7333333,7.0999999,Winter,186
R4433,St.6556,Germany,Brassica napus L.,49.4883333,8.4647226,Winter,182
R4434,Leopard,Germany,Brassica napus L.,49.0047222,8.3858337,Spring,181
R4435,Futura,Germany,Brassica napus L.,50.0833333,8.25,Spring,180
R4436,Sinera,Germany,Brassica napus L.,51.9623559,7.6257133,Winter,184
R4437,Luna,Germany,Brassica napus L.,51.5166667,7.1166668,Winter,179
R4438,"Lirafit, Wrf 22",Germany,Brassica napus L.,50.7766356,6.0834217,Winter,185
R4439,Nubi,Germany,Brassica napus L.,51.2,6.4333334,Winter,184
R4440,Lisonne,Germany,Brassica napus L.,50.7333333,7.0999999,Spring,168
R4441,Rosko,Germany,Brassica napus L.,49.4883333,8.4647226,Winter,NA
R4442,Fornax,Germany,Brassica napus L.,49.0047222,8.3858337,Winter,NA
R4443,Lord,Germany,Brassica napus L.,50.0833333,8.25,Winter,173
R4444,Ligoris,Germany,Brassica napus L.,51.9623559,7.6257133,Winter,183
R4445,Kb 30/78,Germany,Brassica napus L.,51.5166667,7.1166668,Winter,183
R4446,unknown,Germany,Brassica napus L.,50.7766356,6.0834217,Spring,161
R4447,"Elena, Kb 23/79",Germany,Brassica napus L.,51.2,6.4333334,Winter,NA
R4448,Rucabo,Germany,Brassica napus L.,48.3666667,10.8833332,Spring,181
R4449,Lictor,Germany,Brassica napus L.,50.8333333,12.916667,Winter,184
R4450,Orion,Germany,Brassica napus L.,52.2666667,10.5333328,Winter,NA
R4451,Liglory,Germany,Brassica napus L.,51.4833333,11.9333334,Winter,183
R4452,Npz 51,Germany,Brassica napus L.,51.3333333,6.5666666,Winter,185
R4453,Nubi 2276,Germany,Brassica napus L.,51.5,12,Winter,184
R4454,Semu 60/82,Germany,Brassica napus L.,54.3213293,10.1348877,Winter,185
R4455,unknown,Germany,Brassica napus L.,52.1666667,11.666667,Spring,161
R4456,Loras,Germany,Brassica napus L.,52.15,11.6333332,Spring,161
R4457,Lirakus,Germany,Brassica napus L.,51.4666667,6.8499999,Winter,183
